MaTruong,TenTruong
279,"Trường THPT Nguyễn Khuyến  :194 Quang Trung, Ph. An Phú, thị xã An Khê, Gia Lai"
280,"THPT Phan Chu Trinh  :Xã Xuân Bình, thị xã Sông Cầu"
281,"THPT Số 1 Phù Mỹ  :TT Phù Mỹ, H. Phù Mỹ"
282,Trường THPT Tư thục Hoàng Văn Thụ
283,THPT Võ Thị Sáu
284,"THPT Trường Chinh  :Thôn 2, xã Dlie Yang, huyện Ea H'Leo"
285,THPT Nguyễn Tri Phương - Bảo Lộc
286,THPT Nguyễn Hữu Thận
287,THPT Ngô Sĩ Liên
288,THPT Nguyễn Công Trứ
289,THPT Phú Riềng
290,THPT Duy Tân
291,Trung học phổ thông Dân tộc nội trú N' Trang Lơng tỉnh Đăk Nông
292,THPT Chu Văn An
293,THPT Lê Duẩn
294,THPT Đăk Song
295,Trung tâm DN-GDTX&HN tỉnh Quảng Ngãi
296,"Trường THPT Nguyễn Thái Học  :TTr. Nhơn Hòa, H. Chư Pưh, Gia Lai."
297,THPT Gio Linh
298,Trường THPT Số 2 Mộ Đức
299,Trường THPT Võ Nguyên Giáp
300,THPT Quảng Ninh
301,"THPT Số 3 Quảng Trạch  :Xã Quảng Phú, Huyện Quảng Trạch, Tỉnh Quảng Bình"
302,Trường THPT Trần Quang Diệu
303,THPT Trần Hưng Đạo
304,Trường THPT Số 2 Đức Phổ
305,Trường THPT Đinh Tiên Hoàng
306,THPT Lạc Long Quân
307,Trường PT Dân tộc Nội trú tỉnh
308,THPT Cư M'Gar
309,"Trường THPT Nguyễn Trãi  :Đường Lê Thị Hồng Gấm, Ph. An Bình, thị xã An Khê, Gia Lai"
310,THCS và THPT Nguyễn Viết Xuân
311,THPT Dân tộc nội trú Ninh Thuận
